課綱,跨部,跨系,已選,停修與否,語音代碼,課程代碼,科目代號,課程名稱,課程英文名稱,課程類別,開課班級,必選修,性質,學分,授課教師,時間1,教室1,時間2,教室2,時間3,教室3,備註,權責單位,開課人數,實際修課人數,開課鐘點數,教師授課鐘點數,選課登記人數,授課語言,系代碼,選課餘額
◎,V,V,,,2601001,ED010A,ED010,教育議題專題,Seminar On Education Issues,學程,教育學程－中,教必,半,2,張淑慧,1-78.,全人415,,,,,20屆(含)以後為必選修,師培中心,25,25,2,2,43,國語,8401B,0
◎,V,V,,,2607001,ED070A,ED070,教育哲學,The Philosophy of Education,學程,教育學程－中,教必,半,2,楊慶麟,2-78.,全人405,,,,,,師培中心,20,24,2,2,25,國語,8401B,1
◎,V,V,,,2607401,ED074A,ED074,班級經營,Class Management,學程,教育學程－中,教必,半,2,王保進,2-34.,全人415,,,,,108學年度新課程，需同時選班級經營實踐,師培中心,25,25,2,2,37,國語,8401B,0
◎,V,V,,,2608401,ED084A,ED084,輔導原理與實務,Introduction of Guidance and Counseling,學程,教育學程－中,教必,半,2,余振民,2-56.,全人415,,,,,,師培中心,25,25,2,2,27,國語,8401B,0
◎,V,V,,,2611501,ED115A,ED115,性別教育,Gender Education,學程,教育學程－中,教選,半,2,余振民,4-56.,全人415,,,,,,師培中心,15,12,2,2,47,國語,8401B,3
,,,,,2613201,ED132A,ED132,國文教學實習,Teaching Practice,學程,教育學程－中,教必,半,2,,2-56.,全人409,,,,,需先修畢國文教材教法課程,師培中心,15,7,2,0,7,國語,8401B,8
◎,V,V,,,2613301,ED133A,ED133,英文教學實習,Teaching Practice,學程,教育學程－中,教必,半,2,林俊閎,3-56.,全人417,,,,,需先修畢英文教材教法課程,師培中心,15,6,2,2,6,國語,8401B,9
◎,V,V,,,2613401,ED134A,ED134,數學教學實習,Teaching Practice,學程,教育學程－中,教必,半,2,林世倡,1-CD.,全人418,,,,,需先修畢數學教材教法課程,師培中心,15,8,2,2,8,國語,8401B,7
◎,V,V,,,2613501,ED135A,ED135,輔導教學實習,Teaching Practice,學程,教育學程－中,教必,半,2,張淑慧,3-78.,全人409,,,,,需先修畢輔導教材教法課程,師培中心,15,0,2,2,0,國語,8401B,15
◎,V,V,,,2613601,ED136A,ED136,生物教學實習,Teaching Practice,學程,教育學程－中,教必,半,2,梁忠三,1-78.,全人417,,,,,需先修畢生物教材教法課程,師培中心,10,1,2,2,1,國語,8401B,9
